order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
1,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/full/01af2f60-8701-0133-b22c-00505686a51c.unsplit-top.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/thumb/01af2f60-8701-0133-b22c-00505686a51c.unsplit-top.jpg,01af2f60-8701-0133-b22c-00505686a51c,http://digitalcollections.nypl.org/items/01af2f60-8701-0133-b22c-00505686a51c,http://digitalcollections.nypl.org/items/01af2f60-8701-0133-b22c-00505686a51c,-0.475589,1701,837.2,0,0,1701,837.2
1,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/full/01af2f60-8701-0133-b22c-00505686a51c.unsplit-middle.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/thumb/01af2f60-8701-0133-b22c-00505686a51c.unsplit-middle.jpg,01af2f60-8701-0133-b22c-00505686a51c,http://digitalcollections.nypl.org/items/01af2f60-8701-0133-b22c-00505686a51c,http://digitalcollections.nypl.org/items/01af2f60-8701-0133-b22c-00505686a51c,-0.475589,1701,862.96,0,785.6800000000001,1701,862.96
1,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/full/01af2f60-8701-0133-b22c-00505686a51c.unsplit-bottom.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/thumb/01af2f60-8701-0133-b22c-00505686a51c.unsplit-bottom.jpg,01af2f60-8701-0133-b22c-00505686a51c,http://digitalcollections.nypl.org/items/01af2f60-8701-0133-b22c-00505686a51c,http://digitalcollections.nypl.org/items/01af2f60-8701-0133-b22c-00505686a51c,-0.475589,1701,837.2,0,1597.1200000000001,1701,837.2
2,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/full/01d90f20-8701-0133-675a-00505686a51c.left-top.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/thumb/01d90f20-8701-0133-675a-00505686a51c.left-top.jpg,01d90f20-8701-0133-675a-00505686a51c,http://digitalcollections.nypl.org/items/01d90f20-8701-0133-675a-00505686a51c,http://digitalcollections.nypl.org/items/01af2f60-8701-0133-b22c-00505686a51c,0.363689,1338.48,660.4000000000001,0,0,1338.48,660.4000000000001
2,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/full/01d90f20-8701-0133-675a-00505686a51c.left-middle.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/thumb/01d90f20-8701-0133-675a-00505686a51c.left-middle.jpg,01d90f20-8701-0133-675a-00505686a51c,http://digitalcollections.nypl.org/items/01d90f20-8701-0133-675a-00505686a51c,http://digitalcollections.nypl.org/items/01af2f60-8701-0133-b22c-00505686a51c,0.363689,1338.48,680.72,0,619.76,1338.48,680.72
2,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/full/01d90f20-8701-0133-675a-00505686a51c.left-bottom.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/thumb/01d90f20-8701-0133-675a-00505686a51c.left-bottom.jpg,01d90f20-8701-0133-675a-00505686a51c,http://digitalcollections.nypl.org/items/01d90f20-8701-0133-675a-00505686a51c,http://digitalcollections.nypl.org/items/01af2f60-8701-0133-b22c-00505686a51c,0.363689,1338.48,660.4000000000001,0,1259.8400000000001,1338.48,660.4000000000001
2,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/full/01d90f20-8701-0133-675a-00505686a51c.right-top.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/thumb/01d90f20-8701-0133-675a-00505686a51c.right-top.jpg,01d90f20-8701-0133-675a-00505686a51c,http://digitalcollections.nypl.org/items/01d90f20-8701-0133-675a-00505686a51c,http://digitalcollections.nypl.org/items/01af2f60-8701-0133-b22c-00505686a51c,0.363689,1338.48,660.4000000000001,1235.52,0,1338.48,660.4000000000001
2,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/full/01d90f20-8701-0133-675a-00505686a51c.right-middle.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/thumb/01d90f20-8701-0133-675a-00505686a51c.right-middle.jpg,01d90f20-8701-0133-675a-00505686a51c,http://digitalcollections.nypl.org/items/01d90f20-8701-0133-675a-00505686a51c,http://digitalcollections.nypl.org/items/01af2f60-8701-0133-b22c-00505686a51c,0.363689,1338.48,680.72,1235.52,619.76,1338.48,680.72
2,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/full/01d90f20-8701-0133-675a-00505686a51c.right-bottom.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/thumb/01d90f20-8701-0133-675a-00505686a51c.right-bottom.jpg,01d90f20-8701-0133-675a-00505686a51c,http://digitalcollections.nypl.org/items/01d90f20-8701-0133-675a-00505686a51c,http://digitalcollections.nypl.org/items/01af2f60-8701-0133-b22c-00505686a51c,0.363689,1338.48,660.4000000000001,1235.52,1259.8400000000001,1338.48,660.4000000000001
3,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/full/01ef21b0-8701-0133-9aa7-00505686a51c.left-top.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant-s4/thumb/01ef21b0-8701-0133-9aa7-00505686a51c.left-top.jpg,01ef21b0-8701-0133-9aa7-00505686a51c,http://digitalcollections.nypl.org/items/01ef21b0-8701-0133-9aa7-00505686a51c,http://digitalcollections.nypl.org/items/01af2f60-8701-0133-b22c-00505686a51c,0.503563,1340.58,664.95,0,0,1340.58,664.95
