order,file_path,thumbnail,capture_uuid,page_uri,book_uri
80,http://images.nypl.org/index.php?id=5260417&t=v,http://images.nypl.org/index.php?id=5260417&t=r,e26c07b0-00b1-0133-c7b2-58d385a7bbd0,http://digitalcollections.nypl.org/items/e26c07b0-00b1-0133-c7b2-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
81,http://images.nypl.org/index.php?id=5260418&t=v,http://images.nypl.org/index.php?id=5260418&t=r,e275c590-00b1-0133-a74e-58d385a7bbd0,http://digitalcollections.nypl.org/items/e275c590-00b1-0133-a74e-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
82,http://images.nypl.org/index.php?id=5260419&t=v,http://images.nypl.org/index.php?id=5260419&t=r,e27f9010-00b1-0133-020d-58d385a7bbd0,http://digitalcollections.nypl.org/items/e27f9010-00b1-0133-020d-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
83,http://images.nypl.org/index.php?id=5260420&t=v,http://images.nypl.org/index.php?id=5260420&t=r,e2890640-00b1-0133-c25f-58d385a7bbd0,http://digitalcollections.nypl.org/items/e2890640-00b1-0133-c25f-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
84,http://images.nypl.org/index.php?id=5260421&t=v,http://images.nypl.org/index.php?id=5260421&t=r,e2929940-00b1-0133-2c0b-58d385a7bbd0,http://digitalcollections.nypl.org/items/e2929940-00b1-0133-2c0b-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
85,http://images.nypl.org/index.php?id=5260422&t=v,http://images.nypl.org/index.php?id=5260422&t=r,e2c6f8c0-00b1-0133-2d5c-58d385a7bbd0,http://digitalcollections.nypl.org/items/e2c6f8c0-00b1-0133-2d5c-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
86,http://images.nypl.org/index.php?id=5260423&t=v,http://images.nypl.org/index.php?id=5260423&t=r,e2d1b360-00b1-0133-7643-58d385a7bbd0,http://digitalcollections.nypl.org/items/e2d1b360-00b1-0133-7643-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
87,http://images.nypl.org/index.php?id=5260424&t=v,http://images.nypl.org/index.php?id=5260424&t=r,e2db9110-00b1-0133-55b2-58d385a7bbd0,http://digitalcollections.nypl.org/items/e2db9110-00b1-0133-55b2-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
88,http://images.nypl.org/index.php?id=5260425&t=v,http://images.nypl.org/index.php?id=5260425&t=r,e2e59200-00b1-0133-b9e1-58d385a7bbd0,http://digitalcollections.nypl.org/items/e2e59200-00b1-0133-b9e1-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
89,http://images.nypl.org/index.php?id=5260426&t=v,http://images.nypl.org/index.php?id=5260426&t=r,e2ef2f80-00b1-0133-07ff-58d385a7bbd0,http://digitalcollections.nypl.org/items/e2ef2f80-00b1-0133-07ff-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
90,http://images.nypl.org/index.php?id=5260427&t=v,http://images.nypl.org/index.php?id=5260427&t=r,e2f8e280-00b1-0133-a17a-58d385a7bbd0,http://digitalcollections.nypl.org/items/e2f8e280-00b1-0133-a17a-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
91,http://images.nypl.org/index.php?id=5260428&t=v,http://images.nypl.org/index.php?id=5260428&t=r,e302a9b0-00b1-0133-7495-58d385a7bbd0,http://digitalcollections.nypl.org/items/e302a9b0-00b1-0133-7495-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
92,http://images.nypl.org/index.php?id=5260429&t=v,http://images.nypl.org/index.php?id=5260429&t=r,e30c32c0-00b1-0133-3702-58d385a7bbd0,http://digitalcollections.nypl.org/items/e30c32c0-00b1-0133-3702-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
93,http://images.nypl.org/index.php?id=5260430&t=v,http://images.nypl.org/index.php?id=5260430&t=r,e315df60-00b1-0133-43d1-58d385a7bbd0,http://digitalcollections.nypl.org/items/e315df60-00b1-0133-43d1-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
94,http://images.nypl.org/index.php?id=5260431&t=v,http://images.nypl.org/index.php?id=5260431&t=r,e31f8700-00b1-0133-8eab-58d385a7bbd0,http://digitalcollections.nypl.org/items/e31f8700-00b1-0133-8eab-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
95,http://images.nypl.org/index.php?id=5260432&t=v,http://images.nypl.org/index.php?id=5260432&t=r,e32967f0-00b1-0133-7e73-58d385a7bbd0,http://digitalcollections.nypl.org/items/e32967f0-00b1-0133-7e73-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
96,http://images.nypl.org/index.php?id=5260433&t=v,http://images.nypl.org/index.php?id=5260433&t=r,e3330730-00b1-0133-f0b0-58d385a7bbd0,http://digitalcollections.nypl.org/items/e3330730-00b1-0133-f0b0-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
97,http://images.nypl.org/index.php?id=5260434&t=v,http://images.nypl.org/index.php?id=5260434&t=r,e33cecb0-00b1-0133-e972-58d385a7bbd0,http://digitalcollections.nypl.org/items/e33cecb0-00b1-0133-e972-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
98,http://images.nypl.org/index.php?id=5260435&t=v,http://images.nypl.org/index.php?id=5260435&t=r,e34685d0-00b1-0133-6122-58d385a7bbd0,http://digitalcollections.nypl.org/items/e34685d0-00b1-0133-6122-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
99,http://images.nypl.org/index.php?id=5260436&t=v,http://images.nypl.org/index.php?id=5260436&t=r,e3504280-00b1-0133-f731-58d385a7bbd0,http://digitalcollections.nypl.org/items/e3504280-00b1-0133-f731-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
100,http://images.nypl.org/index.php?id=5260437&t=v,http://images.nypl.org/index.php?id=5260437&t=r,e359d430-00b1-0133-fbea-58d385a7bbd0,http://digitalcollections.nypl.org/items/e359d430-00b1-0133-fbea-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
101,http://images.nypl.org/index.php?id=5260438&t=v,http://images.nypl.org/index.php?id=5260438&t=r,e3637ac0-00b1-0133-2b69-58d385a7bbd0,http://digitalcollections.nypl.org/items/e3637ac0-00b1-0133-2b69-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
102,http://images.nypl.org/index.php?id=5260439&t=v,http://images.nypl.org/index.php?id=5260439&t=r,e36d7b80-00b1-0133-4d9f-58d385a7bbd0,http://digitalcollections.nypl.org/items/e36d7b80-00b1-0133-4d9f-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
103,http://images.nypl.org/index.php?id=5260440&t=v,http://images.nypl.org/index.php?id=5260440&t=r,e3773a80-00b1-0133-bd23-58d385a7bbd0,http://digitalcollections.nypl.org/items/e3773a80-00b1-0133-bd23-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
104,http://images.nypl.org/index.php?id=5260441&t=v,http://images.nypl.org/index.php?id=5260441&t=r,e38121f0-00b1-0133-5241-58d385a7bbd0,http://digitalcollections.nypl.org/items/e38121f0-00b1-0133-5241-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
105,http://images.nypl.org/index.php?id=5260442&t=v,http://images.nypl.org/index.php?id=5260442&t=r,e38ae1d0-00b1-0133-2ced-58d385a7bbd0,http://digitalcollections.nypl.org/items/e38ae1d0-00b1-0133-2ced-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
106,http://images.nypl.org/index.php?id=5260443&t=v,http://images.nypl.org/index.php?id=5260443&t=r,e394a0c0-00b1-0133-224a-58d385a7bbd0,http://digitalcollections.nypl.org/items/e394a0c0-00b1-0133-224a-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
107,http://images.nypl.org/index.php?id=5260444&t=v,http://images.nypl.org/index.php?id=5260444&t=r,e39e6440-00b1-0133-c89d-58d385a7bbd0,http://digitalcollections.nypl.org/items/e39e6440-00b1-0133-c89d-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
108,http://images.nypl.org/index.php?id=5260445&t=v,http://images.nypl.org/index.php?id=5260445&t=r,e3a85e30-00b1-0133-e2fe-58d385a7bbd0,http://digitalcollections.nypl.org/items/e3a85e30-00b1-0133-e2fe-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
109,http://images.nypl.org/index.php?id=5260446&t=v,http://images.nypl.org/index.php?id=5260446&t=r,e3b1f950-00b1-0133-3a2e-58d385a7bbd0,http://digitalcollections.nypl.org/items/e3b1f950-00b1-0133-3a2e-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
110,http://images.nypl.org/index.php?id=5260447&t=v,http://images.nypl.org/index.php?id=5260447&t=r,e3bbb000-00b1-0133-bc62-58d385a7bbd0,http://digitalcollections.nypl.org/items/e3bbb000-00b1-0133-bc62-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
111,http://images.nypl.org/index.php?id=5260448&t=v,http://images.nypl.org/index.php?id=5260448&t=r,e3c5db30-00b1-0133-342c-58d385a7bbd0,http://digitalcollections.nypl.org/items/e3c5db30-00b1-0133-342c-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
112,http://images.nypl.org/index.php?id=5260449&t=v,http://images.nypl.org/index.php?id=5260449&t=r,e3cfafc0-00b1-0133-4a49-58d385a7bbd0,http://digitalcollections.nypl.org/items/e3cfafc0-00b1-0133-4a49-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
113,http://images.nypl.org/index.php?id=5260450&t=v,http://images.nypl.org/index.php?id=5260450&t=r,e3d96570-00b1-0133-8607-58d385a7bbd0,http://digitalcollections.nypl.org/items/e3d96570-00b1-0133-8607-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
114,http://images.nypl.org/index.php?id=5260451&t=v,http://images.nypl.org/index.php?id=5260451&t=r,e3e33970-00b1-0133-5e72-58d385a7bbd0,http://digitalcollections.nypl.org/items/e3e33970-00b1-0133-5e72-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
115,http://images.nypl.org/index.php?id=5260452&t=v,http://images.nypl.org/index.php?id=5260452&t=r,e3ecf200-00b1-0133-d7a4-58d385a7bbd0,http://digitalcollections.nypl.org/items/e3ecf200-00b1-0133-d7a4-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
116,http://images.nypl.org/index.php?id=5260453&t=v,http://images.nypl.org/index.php?id=5260453&t=r,e3f6df30-00b1-0133-9bfe-58d385a7bbd0,http://digitalcollections.nypl.org/items/e3f6df30-00b1-0133-9bfe-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
117,http://images.nypl.org/index.php?id=5260454&t=v,http://images.nypl.org/index.php?id=5260454&t=r,e4007890-00b1-0133-0441-58d385a7bbd0,http://digitalcollections.nypl.org/items/e4007890-00b1-0133-0441-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
118,http://images.nypl.org/index.php?id=5260455&t=v,http://images.nypl.org/index.php?id=5260455&t=r,e40a3f50-00b1-0133-7fa0-58d385a7bbd0,http://digitalcollections.nypl.org/items/e40a3f50-00b1-0133-7fa0-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
119,http://images.nypl.org/index.php?id=5260456&t=v,http://images.nypl.org/index.php?id=5260456&t=r,e4140990-00b1-0133-0084-58d385a7bbd0,http://digitalcollections.nypl.org/items/e4140990-00b1-0133-0084-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
120,http://images.nypl.org/index.php?id=5260457&t=v,http://images.nypl.org/index.php?id=5260457&t=r,e41d8dc0-00b1-0133-490a-58d385a7bbd0,http://digitalcollections.nypl.org/items/e41d8dc0-00b1-0133-490a-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
121,http://images.nypl.org/index.php?id=5260458&t=v,http://images.nypl.org/index.php?id=5260458&t=r,e426f7e0-00b1-0133-4d50-58d385a7bbd0,http://digitalcollections.nypl.org/items/e426f7e0-00b1-0133-4d50-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
122,http://images.nypl.org/index.php?id=5260459&t=v,http://images.nypl.org/index.php?id=5260459&t=r,e430af90-00b1-0133-dd0c-58d385a7bbd0,http://digitalcollections.nypl.org/items/e430af90-00b1-0133-dd0c-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
123,http://images.nypl.org/index.php?id=5260460&t=v,http://images.nypl.org/index.php?id=5260460&t=r,e43a6ad0-00b1-0133-805f-58d385a7bbd0,http://digitalcollections.nypl.org/items/e43a6ad0-00b1-0133-805f-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
124,http://images.nypl.org/index.php?id=5260461&t=v,http://images.nypl.org/index.php?id=5260461&t=r,e4443250-00b1-0133-6990-58d385a7bbd0,http://digitalcollections.nypl.org/items/e4443250-00b1-0133-6990-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
125,http://images.nypl.org/index.php?id=5260462&t=v,http://images.nypl.org/index.php?id=5260462&t=r,e44dcf20-00b1-0133-ee65-58d385a7bbd0,http://digitalcollections.nypl.org/items/e44dcf20-00b1-0133-ee65-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
126,http://images.nypl.org/index.php?id=5260463&t=v,http://images.nypl.org/index.php?id=5260463&t=r,e457a0e0-00b1-0133-04c6-58d385a7bbd0,http://digitalcollections.nypl.org/items/e457a0e0-00b1-0133-04c6-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
127,http://images.nypl.org/index.php?id=5260464&t=v,http://images.nypl.org/index.php?id=5260464&t=r,e4612920-00b1-0133-3eeb-58d385a7bbd0,http://digitalcollections.nypl.org/items/e4612920-00b1-0133-3eeb-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
128,http://images.nypl.org/index.php?id=5260465&t=v,http://images.nypl.org/index.php?id=5260465&t=r,e46b0070-00b1-0133-fb2f-58d385a7bbd0,http://digitalcollections.nypl.org/items/e46b0070-00b1-0133-fb2f-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
129,http://images.nypl.org/index.php?id=5260466&t=v,http://images.nypl.org/index.php?id=5260466&t=r,e474b1c0-00b1-0133-bf51-58d385a7bbd0,http://digitalcollections.nypl.org/items/e474b1c0-00b1-0133-bf51-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
130,http://images.nypl.org/index.php?id=5260467&t=v,http://images.nypl.org/index.php?id=5260467&t=r,e47ec100-00b1-0133-5a2e-58d385a7bbd0,http://digitalcollections.nypl.org/items/e47ec100-00b1-0133-5a2e-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
131,http://images.nypl.org/index.php?id=5260468&t=v,http://images.nypl.org/index.php?id=5260468&t=r,e4889b80-00b1-0133-f2f0-58d385a7bbd0,http://digitalcollections.nypl.org/items/e4889b80-00b1-0133-f2f0-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
132,http://images.nypl.org/index.php?id=5260469&t=v,http://images.nypl.org/index.php?id=5260469&t=r,e4926930-00b1-0133-a6f1-58d385a7bbd0,http://digitalcollections.nypl.org/items/e4926930-00b1-0133-a6f1-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
133,http://images.nypl.org/index.php?id=5260470&t=v,http://images.nypl.org/index.php?id=5260470&t=r,e49d5220-00b1-0133-29f7-58d385a7bbd0,http://digitalcollections.nypl.org/items/e49d5220-00b1-0133-29f7-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
134,http://images.nypl.org/index.php?id=5260471&t=v,http://images.nypl.org/index.php?id=5260471&t=r,e4a70850-00b1-0133-1b51-58d385a7bbd0,http://digitalcollections.nypl.org/items/e4a70850-00b1-0133-1b51-58d385a7bbd0,http://digitalcollections.nypl.org/items/df712aa0-00b1-0133-fbd7-58d385a7bbd0
