order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
235,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d100930-0241-0133-c26a-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d100930-0241-0133-c26a-58d385a7b928.left.jpg,5d100930-0241-0133-c26a-58d385a7b928,http://digitalcollections.nypl.org/items/5d100930-0241-0133-c26a-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.111906,1358.95,2006,0,0,1358.95,2006
235,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d100930-0241-0133-c26a-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d100930-0241-0133-c26a-58d385a7b928.right.jpg,5d100930-0241-0133-c26a-58d385a7b928,http://digitalcollections.nypl.org/items/5d100930-0241-0133-c26a-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.111906,1358.95,2006,1205.05,0,1358.95,2006
236,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d19b700-0241-0133-0225-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d19b700-0241-0133-0225-58d385a7b928.left.jpg,5d19b700-0241-0133-0225-58d385a7b928,http://digitalcollections.nypl.org/items/5d19b700-0241-0133-0225-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.279762,1362.13,2016,0,0,1362.13,2016
236,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d19b700-0241-0133-0225-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d19b700-0241-0133-0225-58d385a7b928.right.jpg,5d19b700-0241-0133-0225-58d385a7b928,http://digitalcollections.nypl.org/items/5d19b700-0241-0133-0225-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.279762,1362.13,2016,1207.87,0,1362.13,2016
237,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d23a1e0-0241-0133-103b-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d23a1e0-0241-0133-103b-58d385a7b928.left.jpg,5d23a1e0-0241-0133-103b-58d385a7b928,http://digitalcollections.nypl.org/items/5d23a1e0-0241-0133-103b-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.475589,1366.34,2030,0,0,1366.34,2030
237,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d23a1e0-0241-0133-103b-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d23a1e0-0241-0133-103b-58d385a7b928.right.jpg,5d23a1e0-0241-0133-103b-58d385a7b928,http://digitalcollections.nypl.org/items/5d23a1e0-0241-0133-103b-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.475589,1366.34,2030,1211.66,0,1366.34,2030
238,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d2d59b0-0241-0133-ee9d-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d2d59b0-0241-0133-ee9d-58d385a7b928.left.jpg,5d2d59b0-0241-0133-ee9d-58d385a7b928,http://digitalcollections.nypl.org/items/5d2d59b0-0241-0133-ee9d-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,-0.0,1355.77,2013,0,0,1355.77,2013
238,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d2d59b0-0241-0133-ee9d-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d2d59b0-0241-0133-ee9d-58d385a7b928.right.jpg,5d2d59b0-0241-0133-ee9d-58d385a7b928,http://digitalcollections.nypl.org/items/5d2d59b0-0241-0133-ee9d-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,-0.0,1355.77,2013,1202.23,0,1355.77,2013
239,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d3706b0-0241-0133-f657-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d3706b0-0241-0133-f657-58d385a7b928.left.jpg,5d3706b0-0241-0133-f657-58d385a7b928,http://digitalcollections.nypl.org/items/5d3706b0-0241-0133-f657-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.0839293,1358.92,2012,0,0,1358.92,2012
239,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d3706b0-0241-0133-f657-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d3706b0-0241-0133-f657-58d385a7b928.right.jpg,5d3706b0-0241-0133-f657-58d385a7b928,http://digitalcollections.nypl.org/items/5d3706b0-0241-0133-f657-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.0839293,1358.92,2012,1205.08,0,1358.92,2012
