order,file_path,thumbnail,width,height,capture_location,date,set_key
1,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0001.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0001.jpg,2048,3419,n/a,n/a,n/a
2,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0002.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0002.jpg,2048,3410,n/a,n/a,n/a
3,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0003.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0003.jpg,2048,3410,n/a,n/a,n/a
4,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0004.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0004.jpg,2048,3457,n/a,n/a,n/a
5,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0005.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0005.jpg,2048,3399,n/a,n/a,n/a
6,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0006.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0006.jpg,2048,3457,n/a,n/a,n/a
7,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0007.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0007.jpg,2048,3399,n/a,n/a,n/a
8,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0008.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0008.jpg,2048,3494,n/a,n/a,n/a
9,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0009.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0009.jpg,2048,3399,n/a,n/a,n/a
10,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0010.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0010.jpg,2048,3494,n/a,n/a,n/a
11,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0011.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0011.jpg,2048,3399,n/a,n/a,n/a
12,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0012.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0012.jpg,2048,3494,n/a,n/a,n/a
13,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0013.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0013.jpg,2048,3399,n/a,n/a,n/a
14,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0014.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0014.jpg,2048,3494,n/a,n/a,n/a
15,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0015.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0015.jpg,2048,3399,n/a,n/a,n/a
16,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0016.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0016.jpg,2048,3494,n/a,n/a,n/a
17,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0017.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0017.jpg,2048,3399,n/a,n/a,n/a
18,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0018.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0018.jpg,2048,3422,n/a,n/a,n/a
19,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0019.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0019.jpg,2048,3399,n/a,n/a,n/a
20,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0020.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0020.jpg,2048,3422,n/a,n/a,n/a
21,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0021.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0021.jpg,2048,3399,n/a,n/a,n/a
22,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0022.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0022.jpg,2048,3422,n/a,n/a,n/a
23,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0023.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0023.jpg,2048,3399,n/a,n/a,n/a
24,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0024.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0024.jpg,2048,3422,n/a,n/a,n/a
25,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0025.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0025.jpg,2048,3399,n/a,n/a,n/a
26,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0026.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0026.jpg,2048,3422,n/a,n/a,n/a
27,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0027.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0027.jpg,2048,3399,n/a,n/a,n/a
28,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0028.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0028.jpg,2048,3422,n/a,n/a,n/a
29,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0029.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0029.jpg,2048,3399,n/a,n/a,n/a
30,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0030.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0030.jpg,2048,3422,n/a,n/a,n/a
31,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0031.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0031.jpg,2048,3399,n/a,n/a,n/a
32,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0032.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0032.jpg,2048,3422,n/a,n/a,n/a
33,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0033.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0033.jpg,2048,3399,n/a,n/a,n/a
34,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0034.jpg,http://demo.zooniverse.org/whaling-logs-test-data/KWM_37_JPGs/logbookofcaliforn00cali_0034.jpg,2048,3422,n/a,n/a,n/a
