order,file_path,thumbnail,width,height,date_created
29,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0029.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0029_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
30,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0030.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0030_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
31,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0031.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0031_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
32,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0032.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0032_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
33,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0033.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0033_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
34,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0034.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0034_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
35,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0035.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0035_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
36,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0036.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0036_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
37,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0037.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0037_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
38,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0038.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0038_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
