order,set_key,file_path,thumbnail,width,height,date_created
1,grampus_2,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0111.jpg,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0111_thumb.jpg,2076,4998,Tue Sep 22 11:18:19 CDT 2015
2,grampus_2,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0112.jpg,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0112_thumb.jpg,2076,4998,Tue Sep 22 11:18:19 CDT 2015
3,grampus_2,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0113.jpg,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0113_thumb.jpg,2076,4998,Tue Sep 22 11:18:19 CDT 2015
4,grampus_2,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0114.jpg,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0114_thumb.jpg,2076,4998,Tue Sep 22 11:18:19 CDT 2015
5,grampus_2,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0115.jpg,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0115_thumb.jpg,2076,4998,Tue Sep 22 11:18:19 CDT 2015
6,grampus_2,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0116.jpg,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0116_thumb.jpg,2076,4998,Tue Sep 22 11:18:19 CDT 2015
7,grampus_2,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0117.jpg,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0117_thumb.jpg,2076,4998,Tue Sep 22 11:18:19 CDT 2015
8,grampus_2,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0118.jpg,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0118_thumb.jpg,2076,4998,Tue Sep 22 11:18:19 CDT 2015
9,grampus_2,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0119.jpg,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0119_thumb.jpg,2076,4998,Tue Sep 22 11:18:19 CDT 2015
10,grampus_2,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0120.jpg,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0120_thumb.jpg,2076,4998,Tue Sep 22 11:18:19 CDT 2015
11,grampus_2,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0121.jpg,http://whaling-data.oldweather.org/subjects/logbookofgrampus00unse_0121_thumb.jpg,2076,4998,Tue Sep 22 11:18:19 CDT 2015
