order,file_path,thumbnail,width,height,date_created
1,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0001.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0001_thumb.jpg,2710,4853,Tue Sep 22 09:59:46 CDT 2015
2,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0002.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0002_thumb.jpg,2645,4617,Tue Sep 22 09:59:46 CDT 2015
3,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0003.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0003_thumb.jpg,2645,4599,Tue Sep 22 09:59:46 CDT 2015
4,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0004.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0004_thumb.jpg,2645,4634,Tue Sep 22 09:59:46 CDT 2015
5,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0005.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0005_thumb.jpg,2673,4677,Tue Sep 22 09:59:46 CDT 2015
6,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0006.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0006_thumb.jpg,2725,4730,Tue Sep 22 09:59:46 CDT 2015
7,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0007.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0007_thumb.jpg,2722,4702,Tue Sep 22 09:59:46 CDT 2015
8,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0008.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0008_thumb.jpg,2725,4730,Tue Sep 22 09:59:46 CDT 2015
9,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0009.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0009_thumb.jpg,2722,4702,Tue Sep 22 09:59:46 CDT 2015
10,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0010.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0010_thumb.jpg,2725,4730,Tue Sep 22 09:59:46 CDT 2015
11,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0011.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0011_thumb.jpg,2722,4702,Tue Sep 22 09:59:46 CDT 2015
12,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0012.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0012_thumb.jpg,2725,4730,Tue Sep 22 09:59:46 CDT 2015
13,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0013.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0013_thumb.jpg,2722,4702,Tue Sep 22 09:59:46 CDT 2015
14,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0014.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0014_thumb.jpg,2725,4730,Tue Sep 22 09:59:46 CDT 2015
15,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0015.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0015_thumb.jpg,2722,4702,Tue Sep 22 09:59:46 CDT 2015
16,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0016.jpg,http://whaling-data.oldweather.org/subjects/logbookofwilliam00will_0016_thumb.jpg,2725,4730,Tue Sep 22 09:59:46 CDT 2015
