order,file_path,thumbnail,width,height,capture_location,date,set_key,metadata
24,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0092.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0092_thumb.jpg,1600,2575,n/a,n/a,n/a,916707
25,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0093.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0093_thumb.jpg,1600,2636,n/a,n/a,n/a,916734
26,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0094.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0094_thumb.jpg,1600,2575,n/a,n/a,n/a,916745
27,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0095.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0095_thumb.jpg,1600,2636,n/a,n/a,n/a,916736
28,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0096.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0096_thumb.jpg,1600,2575,n/a,n/a,n/a,916781
29,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0097.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0097_thumb.jpg,1600,2636,n/a,n/a,n/a,916786
30,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0098.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0098_thumb.jpg,1600,2575,n/a,n/a,n/a,916691
31,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0099.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0099_thumb.jpg,1600,2636,n/a,n/a,n/a,916790
32,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0100.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0100_thumb.jpg,1600,2575,n/a,n/a,n/a,916789
33,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0101.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0101_thumb.jpg,1600,2636,n/a,n/a,n/a,916757
34,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0102.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0102_thumb.jpg,1600,2575,n/a,n/a,n/a,916791
35,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0103.jpg,http://demo.zooniverse.org/whaling-logs-test-data/beta-logbooks/seneca/logbookofsenecab00unse_0103_thumb.jpg,1600,2636,n/a,n/a,n/a,916788
